id,sku,price,createdAt,updatedAt,priceSale,colors,sizes,categoryId,collectionId
36,10002,1500,2025-09-03 21:19:40.647,2025-09-16 22:51:05.453,,{},{},12,1
38,10004,3900,2025-09-04 17:27:54.277,2025-09-16 22:51:05.807,,{},{},1,1
39,10005,1900,2025-09-04 17:27:59.243,2025-09-16 22:51:05.983,,{},{},12,1
41,10007,1900,2025-09-04 18:48:35.112,2025-09-16 22:51:06.335,,{},{},12,1
34,10000,1900,2025-09-03 19:21:04.402,2025-09-16 22:51:06.511,,{},{},12,1
40,10006,2100,2025-09-04 17:28:03.641,2025-09-17 19:14:54.955,,{},{},16,1
35,10001,1500,2025-09-03 20:18:50.657,2025-09-17 19:16:47.8,,{},{},17,1
37,10003,1300,2025-09-03 21:19:48.806,2025-09-18 15:38:47.244,,{},{},17,1
